KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K07300,1195,1475,1383,1352,1377,1635
K20781,603,687,704,525,517,680
K20367,422,489,428,569,476,595
K20367,418,484,450,505,468,598
K20367,456,505,418,512,507,585
K08506,478,654,611,563,546,574
K08506,496,586,602,529,483,586
K08506,450,592,623,544,528,563
K02563,34,32,38,24,30,40
K02563,46,39,50,30,26,25
K02563,33,49,51,24,33,39
K02563,33,45,43,35,31,35
K02563,40,26,54,25,23,38
K02563,37,32,51,27,31,41
K02563,32,35,44,33,26,36
K02563,34,41,43,29,19,34
K02563,24,43,37,28,31,26
K14684,297,307,318,285,274,305
K00134,6,16,21,14,11,8
K00134,1,11,17,10,14,16
K14684,1195,1386,1414,1137,1240,1227
K11322,345,400,425,269,311,366
K15442,42,68,46,33,34,34
K15442,47,57,49,33,34,34
K08246,157,218,180,184,218,222
K12819,469,565,517,567,618,595
K24028,1197,1744,1403,665,804,784
K00434,1520,1522,1588,700,790,837
K02732,1247,1351,1376,1495,1483,1612
K01358,839,979,892,989,952,994
K08998,71,103,86,65,82,83
K17408,199,265,246,210,242,260
K17408,200,255,250,235,264,271
K06997,374,475,360,478,446,566
K06997,336,421,341,407,436,472
K14407,519,775,551,1127,1144,1374
K00799,1313,1767,1239,2013,2258,2797
K13161,654,838,854,1089,1118,1339
K13161,621,789,763,1120,1080,1300
K13161,646,820,809,1130,1138,1315
K09771,356,456,370,401,489,541
K19944,896,1090,1110,2418,2264,2686
K17618,309,371,380,360,424,486
K17618,273,383,365,401,438,445
K01126,326,364,427,364,325,413
K01409,343,465,379,461,436,557
K00799,236,198,269,152,188,148
K14792,554,607,557,196,234,188
K08339,270,311,285,199,232,213
K08339,260,288,292,189,182,221
K15283,1385,1505,1388,1768,1747,1849
K23387,341,340,342,395,311,388
K23387,351,410,376,408,370,393
K00053,15745,18684,18477,18479,18863,19518
K08493,867,1273,993,1133,1131,1330
K08493,910,1237,1001,1171,1064,1316
K09422,11,5,13,10,4,8
K09422,9,10,9,7,3,8
K15042,7838,9052,8011,5321,5244,5502
K12831,228,237,241,298,325,337
K01092,134,138,146,166,144,119
K01534,146,188,215,63,93,64
K03043,126,273,374,243,317,196
K03860,55,65,74,50,44,47
K03860,66,85,67,48,49,41
K03860,62,83,73,47,49,44
K03860,56,67,61,39,39,37
K03860,62,68,62,43,56,64
K03860,65,57,71,45,53,68
K03610,75,135,124,46,69,48
K15103,996,1230,1149,1280,1239,1385
K00939,1773,2497,2052,4163,3816,4816
K09598,1048,1337,1110,1207,1329,1492
K22949,900,1212,1147,1065,1124,1216
K12449,111,115,124,90,86,73
K20784,776,850,910,753,713,730
K16761,0,0,3,0,1,2
